"ItemCode","ItemName","NumInBuy","SWW","OnHand","WhsCode"
"09012151810101550000",COCKTAIL SET BASIC (3 pcs),6.000000,,24.000000,"01"
"09012151810101560000",WINE SET ORIGINAL (5 pcs),6.000000,,324.000000,"01"
"09012151810101570000","WINE SAVER BLACK (1 PUMP, 4 STOPPERS)",6.000000,,294.000000,"01"
"01022093430103010750",ESPUMANTE PROVETTO ROSADO,6.000000,,6346.000000,"01"
"01022113620903010750",CREMANT DE BOURDEAUX CALVET ROSE BRUT,6.000000,,207.000000,"01"
"01022113621001010750",ESPUMANTE CALVET CELEBRATION BRUT,6.000000,,1964.000000,"01"
"01022113621003010750",ESPUMANTE CALVET CELEBRATION BRUT ROSE,6.000000,,2990.000000,"01"
"01022114900101010750",CHAMPAGNE TAITTINGER BRUT MILLESIME,6.000000,,56.000000,"01"
"01022114900101020750",CHAMPAGNE TAITTINGER BRUT RESERVA FIFA WORLD CUP,6.000000,,14.000000,"01"
"01022114900101030750",CHAMPAGNE TAITTINGER BRUT RESERVA,6.000000,,590.000000,"01"
"01022114900103010750",CHAMPAGNE TAITTINGER BRUT PRESTIGE ROSE,6.000000,,49.000000,"01"
"01022194030103010750",LAMBRUSCO CHIARLI IL MIO ROSADO,6.000000,,891.000000,"01"
"01022194030105010750",LAMBRUSCO CHIARLI IL MIO TINTO,6.000000,,3336.000000,"01"
"01012113620707010750",VINO FRA. CALVET MERLOT,6.000000,,6.000000,"02"
"01012093420511010750",VINO ESP. CARMELO RODERO PAGO DE VALTAREÑA,6.000000,,10.000000,"02"
"01012094420101010750",VINO ESP. BRUTO TINTO,6.000000,,10.000000,"02"
"01012093420411010750",VINO ESP. CARMELO RODERO TSM,6.000000,,10.000000,"02"
"01012093420311010750",VINO ESP. CARMELO RODERO RESERVA,6.000000,,10.000000,"02"
"01011012600117010750",VINO ARG. LUCA BESO DE DANTE CAB. SAUV./MALBEC,6.000000,,6.000000,"02"
"01012093230202011000",VINO ESP. PEÑASOL BLANCO TETRA PACK,6.000000,,1102.000000,"04"
"01012093230201021000",VINO ESP. PEÑASOL TINTO TETRA PACK,6.000000,,2047.000000,"04"
"01012093230511010750",VINO ESP. PEÑASOL TEMPRANILLO GARNACHA,6.000000,,1975.000000,"04"
"01012093230511011500",VINO ESP. PEÑASOL TEMPRANILLO GARNACHA 1500cc,6.000000,,17880.000000,"04"
"01012093230507010750",VINO ESP. PEÑASOL MERLOT,6.000000,,5263.000000,"04"
"01012093230502010750",VINO ESP. PEÑASOL CHARDONNAY,6.000000,,2346.000000,"04"
"01012093230101011000",VINO ESP. PEÑASOL SANGRIA TETRA PACK,6.000000,,13877.000000,"04"
"01012093290417010750",VINO ESP. CASA ALBALI TEMPRANILLO/SHIRAZ,6.000000,,12063.000000,"04"
"01012093290301020375",VINO ESP. ALBALI TINTO RESERVA 375CC,12.000000,,552.000000,"04"
"01012093290301010750",VINO ESP. ALBALI TINTO RESERVA,6.000000,,2034.000000,"04"
"01012093440101020750",VINO ESP. CRUZARES TINTO CAJA6,6.000000,,27516.000000,"04"
"01012113620517010750",VINO FRA. CALVET CONVERSATION MERLOT - CAB SAUV.,6.000000,,414.000000,"04"
"01012113620613010187",VINO FRA. CALVET ROSE D ANJOU 187cc,12.000000,,1347.000000,"04"
"01012193160324010750",VINO ITA. BANFI ROSSO DI MONTALCINO POGGIO ALLEMURA,6.000000,,72.000000,"04"
"01012193160124010750",VINO ITA. BANFI BRUNELLO DI MONTALCINO,6.000000,,78.000000,"04"
"01022093430102010750",ESPUMANTE PROVETTO DEMISEC,6.000000,,4860.000000,"04"
"01012244170401010750",VINO PORT. HERDADE DO PESO COLHEITA TINTO,6.000000,,6.000000,"04"
"01022093430101010750",ESPUMANTE PROVETTO BRUT,6.000000,,780.000000,"04"
"01012244170201010750",VINO PORT. VINHA DO MONTE TINTO,6.000000,,30.000000,"04"
"01012193160324020750",VINO ITA. BANFI BELNERO,6.000000,,72.000000,"04"
"01022194030105010750",LAMBRUSCO CHIARLI IL MIO TINTO,6.000000,,2261.000000,"04"
"01012093440102040750",VINO ESP. CRUZARES BLANCO CAJA6,6.000000,,1703.000000,"04"
"01022194030103010750",LAMBRUSCO CHIARLI IL MIO ROSADO,6.000000,,2241.000000,"04"
"01022113621001010750",ESPUMANTE CALVET CELEBRATION BRUT,6.000000,,660.000000,"04"
"01022093430103010750",ESPUMANTE PROVETTO ROSADO,6.000000,,6185.000000,"04"
"01012113621313010750",VINO FRA. CALVET PROVENCE MURMURE DE ROSE,6.000000,,884.000000,"06"
"01012113620707020187",VINO FRA. CALVET MERLOT 187cc,48.000000,,240.000000,"06"
"01012093440101020750",VINO ESP. CRUZARES TINTO CAJA6,6.000000,,48.000000,"06"
"01012093290121010750",VINO ESP. ALBALI TINTO GRAN RESERVA DE LA FAMILIA,6.000000,,1422.000000,"06"
"01011013300217020750",VINO ARG. EL GRAN ENEMIGO S/V GUALTALLARY,6.000000,,6.000000,"06"
"01012093230502010750",VINO ESP. PEÑASOL CHARDONNAY,6.000000,,6.000000,"06"
"01012093230507010750",VINO ESP. PEÑASOL MERLOT,6.000000,,24.000000,"06"
"01012093230602010750",VINO ESP. EL PULPO ALBARIÑO,6.000000,,12.000000,"06"
"13015934810101010000",ETIQUETA TRASABILIDAD FISCAL CFS.,1.000000,,223380.000000,"08"
