"id_one_label","code_label","notas","response","message","sign","message_status","validated_date","activated_date","signed_date","bg_status","id_user","date_created","last_updated","cod_contable_id"
1030,"001H96D5","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""uniqueMarks"":[""001H96D5""],""iceSku"":""3031-053-024580-013-000750-66-108-000037"",""businessId"":""1e000ba2-7a75-4490-9e0a-9d011a63c136""}","0x01e808aa45f8be3f79c3f2e589837bc20a5c2e8f4214fd86505f5c7e63d4016d2d0dd4e81f74b048410be111d8003e98e35fa558dd3c38a7633b3d1558c194741b",Activado Correctamente,"2022-09-22 12:12:09.738835000","2022-09-22 12:12:23.186839000","2022-09-22 12:12:23.043391000",A,0,"2022-09-22 12:01:15.652720000","2022-09-22 12:12:30.762095000","01011080010117010750"
1031,"001H8F24","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""uniqueMarks"":[""001H8F24""],""iceSku"":""3031-053-024580-013-000750-66-108-000037"",""businessId"":""1e000ba2-7a75-4490-9e0a-9d011a63c136""}","0x4c31d76d151e89b246fdb0b7cf9e844bc37a7d1a577a6d235787c2c25c7cb3b440a91904dfb06108da88335820db58a6add13cbde7f23f116750c4491d3e11821b",Activado Correctamente,"2022-09-22 12:12:09.738835000","2022-09-22 12:12:23.186839000","2022-09-22 12:12:23.043391000",A,0,"2022-09-22 12:01:15.654856000","2022-09-22 12:12:31.966666000","01011080010117010750"
1032,"001H5E28","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""uniqueMarks"":[""001H5E28""],""iceSku"":""3031-053-024580-013-000750-66-108-000037"",""businessId"":""1e000ba2-7a75-4490-9e0a-9d011a63c136""}","0x30ddb77b43f682aa563422f2a2061312f9cb690285950cb7eb885c7eb60724dd7bdc8693e65eb6ce75b77874141c013b3a07abcd86dd0d1ce73663edffcfd3661b",Activado Correctamente,"2022-09-22 12:12:09.738835000","2022-09-22 12:12:23.186839000","2022-09-22 12:12:23.043391000",A,0,"2022-09-22 12:01:15.657154000","2022-09-22 12:12:33.163944000","01011080010117010750"
1033,"001H96B9","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""uniqueMarks"":[""001H96B9""],""iceSku"":""3031-053-024580-013-000750-66-108-000037"",""businessId"":""1e000ba2-7a75-4490-9e0a-9d011a63c136""}","0x4fe7f3cb55b2066eb2ff1d21e7e7bf841002dc25f914171a08a35f5dc9290ea75a728147380d600d3959c2e4814ed45cf403762d391ae9307ca9de1e7ebf460a1c",Activado Correctamente,"2022-09-22 12:12:09.738835000","2022-09-22 12:12:23.186839000","2022-09-22 12:12:23.043391000",A,0,"2022-09-22 12:01:15.659538000","2022-09-22 12:12:34.303599000","01011080010117010750"
1034,"001HAOT3","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""uniqueMarks"":[""001HAOT3""],""iceSku"":""3031-053-024580-013-000750-66-108-000037"",""businessId"":""1e000ba2-7a75-4490-9e0a-9d011a63c136""}","0x5324621679829073c1c5939443a4d7be2fc969ab3d5df33f15d23e308d03955b7f801dc5d63165a0e5fcf5acb841133e9983083ccab2508c8bb6b58654b1e8251c",Activado Correctamente,"2022-09-22 12:12:09.738835000","2022-09-22 12:12:23.186839000","2022-09-22 12:12:23.043391000",A,0,"2022-09-22 12:01:15.661848000","2022-09-22 12:12:35.448906000","01011080010117010750"
1035,"001H65B2","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""generatedMaps"":[],""raw"":[],""affected"":1,""totalUpdate"":1,""totalNotUpdate"":0}","{""uniqueMarks"":[""001H65B2""],""iceSku"":""3031-053-024580-013-000750-66-108-000037"",""businessId"":""1e000ba2-7a75-4490-9e0a-9d011a63c136""}","0xd98e25707b62e4670f89c60339eed983ecc3de21c6c3621a0d9ef41aaaffaee034121328ec78756340642576c60af700f8e6710973e9cbe70839492b0bc7acaa1c",Activado Correctamente,"2022-09-22 12:12:09.738835000","2022-09-22 12:12:23.186839000","2022-09-22 12:12:23.043391000",A,0,"2022-09-22 12:01:15.664246000","2022-09-22 12:12:36.644207000","01011080010117010750"
1036,"001ENC13",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-22 12:01:22.194062000",,,A,0,"2022-09-22 12:01:15.666900000","2022-09-22 12:01:43.131312000","01011080010117010750"
1037,"001HN721",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.331158000","2022-09-27 16:27:43.919343000","02012130020202010750"
1038,"001HJET8",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.334209000","2022-09-27 16:27:44.680866000","02012130020202010750"
1039,"001HEVB2",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.336332000","2022-09-27 16:27:45.352047000","02012130020202010750"
1040,"001HINK3",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.338590000","2022-09-27 16:27:46.018423000","02012130020202010750"
1041,"001HHWB9",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.426633000","2022-09-27 16:27:46.689529000","02012130020202010750"
1042,"001HFMK7",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.438652000","2022-09-27 16:27:47.362953000","02012130020202010750"
1043,"001HK625",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.440954000","2022-09-27 16:27:48.035200000","02012130020202010750"
1044,"001HMFT4",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.443087000","2022-09-27 16:27:48.705911000","02012130020202010750"
1045,"001HLOK0",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.445418000","2022-09-27 16:27:49.375747000","02012130020202010750"
1046,"001HKXB5",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.447575000","2022-09-27 16:27:50.187368000","02012130020202010750"
1047,"001HGDT1",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.450228000","2022-09-27 16:27:50.854173000","02012130020202010750"
1048,"001HH529",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.452450000","2022-09-27 16:27:51.519726000","02012130020202010750"
1049,"002C35B0",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:27:36.036084000",,,A,0,"2022-09-27 16:27:23.455384000","2022-09-27 16:27:52.185879000","02012130020202010750"
